xKom,ram,RAM,PNY 16GB (2x8GB) 3200MHz CL16 XLR8 Gaming,329,MD16GK2D4320016AXR,2021-01-16 21:25:04,
xKom,ram,RAM,G.SKILL 16GB (2x8GB) 3000MHz CL16 Trident Z RGB LED,479,F4-3000C16D-16GTZR,2021-01-16 21:25:04,
xKom,ram,RAM,Patriot 16GB (2x8GB) 4133MHz CL19 Viper Steel,589,PVS416G413C9K,2021-01-16 21:25:04,
xKom,ram,RAM,Corsair 64GB (8x8GB) 3200MHz CL16 Vengeance RGB PRO White,2054,CMW64GX4M8C3200C16W,2021-01-16 21:25:04,
xKom,ram,RAM,G.SKILL 32GB (2x16GB) 3000MHz CL16 Aegis,529,F4-3000C16D-32GISB,2021-01-16 21:25:04,
xKom,ram,RAM,HyperX 16GB (2x8GB) 3466MHz CL16 Fury RGB,479,HX434C16FB3AK2/16,2021-01-16 21:25:04,
Komputronik,rtx 3080,Graphics Cards,ASUS GeForce RTX 3080 TUF Gaming 10GB,4749,TUF-RTX3080-10G-GAMING,2021-01-16 21:25:04,
Komputronik,rtx 3080,Graphics Cards,Gigabyte GeForce RTX 3080 VISION OC 10G,4499,GV-N3080VISION OC-10GD,2021-01-16 21:25:04,
Komputronik,rtx 3080,Graphics Cards,MSI GeForce RTX 3080 VENTUS 3X 10GB OC,4299,GeForce RTX 3080 VENTUS 3X 10G OC,2021-01-16 21:25:04,
Komputronik,rtx 3080,Graphics Cards,ZOTAC GeForce RTX 3080 Gaming Trinity 10GB,3899,ZT-A30800D-10P,2021-01-16 21:25:04,
Komputronik,rtx 3080,Graphics Cards,Palit GeForce RTX 3080 GamingPro 10GB,4299,NED3080019IA-132AA,2021-01-16 21:25:04,
Komputronik,rtx 3080,Graphics Cards,Palit GeForce RTX 3080 GamingPro OC 10GB,4399,NED3080S19IA-132AA,2021-01-16 21:25:04,
Komputronik,rtx 3080,Graphics Cards,Gainward GeForce RTX 3080 Phoenix GS 10GB,4499,471056224-2010,2021-01-16 21:25:04,
Komputronik,rtx 3080,Graphics Cards,Gainward GeForce RTX 3080 Phoenix 10GB,4349,471056224-1952,2021-01-16 21:25:04,
Komputronik,rtx 3080,Graphics Cards,Gigabyte GeForce RTX 3080 GAMING OC 10G,4699,GV-N3080GAMING OC-10GD,2021-01-16 21:25:04,
Komputronik,rtx 3080,Graphics Cards,Gigabyte GeForce RTX 3080 EAGLE OC 10G,4599,GV-N3080EAGLE OC-10GD,2021-01-16 21:25:04,
Komputronik,rtx 3080,Graphics Cards,MSI GeForce RTX 3080 GAMING X TRIO 10G,4499,GeForce RTX 3080 GAMING X TRIO 10G,2021-01-16 21:25:04,
Komputronik,rtx 3080,Graphics Cards,ASUS GeForce RTX 3080 STRIX Gaming 10GB OC,5590,ROG-STRIX-RTX3080-O10G-GAMING,2021-01-16 21:25:04,
Komputronik,rtx 3080,Graphics Cards,ASUS GeForce RTX 3080 STRIX WHITE 10GB OC,5690,ROG-STRIX-RTX3080-O10G-WHITE,2021-01-16 21:25:04,
Komputronik,rtx 3080,Graphics Cards,ASUS GeForce RTX 3080 TUF Gaming 10GB OC,5090,TUF-RTX3080-O10G-GAMING,2021-01-16 21:25:04,
Komputronik,rtx 3080,Graphics Cards,Gigabyte GeForce RTX 3080 AORUS XTREME 10G,5390,GV-N3080AORUS X-10GD,2021-01-16 21:25:04,
Komputronik,rtx 3080,Graphics Cards,Gigabyte GeForce RTX 3080 AORUS XTREME WATERFORCE WB 10G,5690,GV-N3080AORUSX-WB-10GD,2021-01-16 21:25:04,
Komputronik,rtx 3080,Graphics Cards,Gigabyte GeForce RTX 3080 AORUS MASTER 10G,4949,GV-N3080AORUS M-10GD,2021-01-16 21:25:04,
